code_id,code
16,"// You can get a combined result of all readBit()/readData() inside
ON_FIRST_INVOCATION_BEGIN();

rdi.smartVec().readMode(TA::EMAP); // TA::DIGCAP

RDI_BEGIN();
rdi.smartVec(""id"").burstUpload().begin();

rdi.smartVec(id1)
    .pin(""DATA2"").readBit(2, 2)
    .execute();

rdi.smartVec(id2)
    .pin(""DATA2"").readBit(4, 4)
    .execute();

rdi.smartVec(id3)
    .pin(""DATA4"").readData(8, 8)
    .execute();

rdi.smartVec(id4)
    .pin(""DATA4"").readData(8, 12)
    .execute();

rdi.burstUpload.smartVec().end();
RDI_END();

ON_FIRST_INVOCATION_END();

ARRAY_I bitResult = rdi.id(""id"").getReadBit(""DATA2"");
ARRAY_LL dataResult = rdi.id(""id"").getReadData(""DATA4"");"
17,"// You can get a combined result of all readBit()/readData() inside
ON_FIRST_INVOCATION_BEGIN();

rdi.smartVec().readMode(TA::EMAP); // TA::DIGCAP

RDI_BEGIN();
rdi.smartVec(""id"").burstUpload().begin();

rdi.smartVec(id1)
    .pin(""DATA2"").readBit(2, 2)
    .execute();

rdi.smartVec(id2)
    .pin(""DATA2"").readBit(4, 4)
    .execute();

rdi.smartVec(id3)
    .pin(""DATA4"").readData(8, 8)
    .execute();

rdi.smartVec(id4)
    .pin(""DATA4"").readData(8, 12)
    .execute();

rdi.burstUpload.smartVec().end();
RDI_END();

ON_FIRST_INVOCATION_END();

ARRAY_I bitResult = rdi.id(""id"").getReadBit(""DATA2"");
ARRAY_LL dataResult = rdi.id(""id"").getReadData(""DATA4"");"
18,"// You can get a combined result of all readBit()/readData() inside
ON_FIRST_INVOCATION_BEGIN();

rdi.smartVec().readMode(TA::EMAP); // TA::DIGCAP

RDI_BEGIN();
rdi.smartVec(""id"").burstUpload().begin();

rdi.smartVec(id1)
    .pin(""DATA2"").readBit(2, 2)
    .execute();

rdi.smartVec(id2)
    .pin(""DATA2"").readBit(4, 4)
    .execute();

rdi.smartVec(id3)
    .pin(""DATA4"").readData(8, 8)
    .execute();

rdi.smartVec(id4)
    .pin(""DATA4"").readData(8, 12)
    .execute();

rdi.burstUpload.smartVec().end();
RDI_END();

ON_FIRST_INVOCATION_END();

ARRAY_I bitResult = rdi.id(""id"").getReadBit(""DATA2"");
ARRAY_LL dataResult = rdi.id(""id"").getReadData(""DATA4"");"
19,"rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(50 mA, -50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute();
            rdi.wait(1 ms);"
20,"rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(50 mA, -50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute()
            rdi.wait(1 ms);"
21,"rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(50 mA, -50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute()
            rdi.wait(1 ms);"
22,"vector<string> vec_port1;
vec_port1.burst();
vec_port1.push_back(""label3"")
vec_port2.push_back(""label7"");
vec_port1.push_forward(""label25"");
vec_port2.push_forward(""label31"");
rdi.runTimeVal(""rt"",vec_port2); // The label to be patched into the
RDI_BEGIN();
rdi.port(""A"").func(""idd"").burstRunTime(""rt"",200).execute();
RDI_END();
ARRAY_I ary = rdi.id(""idd"").getMultiPassFail();"
23,"vector<string> vec_port1;
vec_port1.burst();
vec_port1.push_back(""label3"");
vec_port2.push_back(""label7"");
vec_port1.push_forward(""label25"");
vec_port2.push_forward(""label31"");
rdi.runTimeVal(""rt"",vec_port2); // The label to be patched into the
RDI_BEGIN();
rdi.port(""A"").func(""idd"").burstRunTime(""rt"",200).execute();
RDI_END);
ARRAY_I ary = rdi.id(""idd"").getMultiPassFail();"
24,"vector<string> vec_port1;
vec_port1.burst();
vec_port1.push_back(""label3"");
vec_port2.push_back(""label7"");
vec_port1.push_forward(""label25"")
vec_port2.push_forward(""label31"");
rdi.runTimeVal(""rt"",vec_port2); // The label to be patched into the
RDI_BEGIN();
rdi.port(""A"").func(""idd"").burstRunTime(""rt"",200).execute();
RDI_END();
ARRAY_I ary = rdi.id(""idd"").getMultiPassFail();"
25,"RDI_BEGIN();
rdi.emap(""a"")
    .label(""label2"").pin(""pB"")
    .FFV(10)
    .execute();
RDI_END();

int iffv = rdi.id(""a"").getFFC();"
26,"RDI_BEGIN();
rdi.emap(""a"")
    .label(""label2"").pin(""pB"")
    .FFV(10)
    .execute();
RDI_END();

int iffv = rdi.id(""a"").getFFC();"
27,"RDI_BEGIN();
rdi.emap(""a"")
    .label(""label2"").pin(""pB"")
    .FFV(10)
    .execute();
RDI_END(,);

int iffv = rdi.id(""a"").getFFC();"
28,"RDI_BEGIN();
rdi.dc().pin(""DPS_1,DPS_2"").imeasRange(100 uA);
rdi.dc().pin(""DPS_1,DPS_2"").vForce(0.01 V);
rdi.wait3 ms);
rdi.dc(""im1"").pin(""DPS_0,DPS_1"").imeas().write();
RDI_END();"
29,"RDI_BEGIN();
rdi.dc().pin(""DPS_1,DPS_2"").imeasRange(100 uA);
rdi.dc().pin(""DPS_1,DPS_2"").vForce(0.01 V);
rdi.wait(3 ms);
rdi.dc(""im1"",).pin(""DPS_0,DPS_1"").imeas().write();
RDI_END();"
30,"RDI_BEGIN();
rdi.dc().pin(""DPS_1,DPS_2"").imeasRange(100 uA);
rdi.dc(,).pin(""DPS_1,DPS_2"").vForce(0.01 V);
rdi.wait(3 ms);
rdi.dc(""im1"").pin(""DPS_0,DPS_1"").imeas().write();
RDI_END();"
31,"ON_FIRST_INVOCATION_BEGIN();
RDI_BEGIN();
rdi.digCap(""cap"").pin(""D0"").samples(100).initDiscard(10).interS;
RDI_END);
ON_FIRST_INVOCATION_END();
const ARRAY_I& aiData = rdi.id(""cap"").getVector(""DO"");"
32,"ON_FIRST_INVOCATION_BEGIN();
RDI_BEGIN();
rdi.digCap(""cap"").pin(""D0"").samples(100).initDiscard(10).interS;
RDI_END();
ON_FIRST_INVOCATION_END);
const ARRAY_I& aiData = rdi.id(""cap"").getVector(""DO"");"
33,"ON_FIRST_INVOCATION_BEGIN();
RDI_BEGIN();
rdi.digCap(""cap"").pin(""D0"").samples(100).initDiscard(10).interS;
RDI_END);
ON_FIRST_INVOCATION_END();
const ARRAY_I& aiData = rdi.id(""cap"").getVector(""DO"");"
34,"RDI_BEGIN();
...
rdi.dc(""a"").pin(""dig"").iForce(0).vMeas().execute(); 
...
RDI_END();

double dVal = rdi.id(""a"").getAlarmValue();
ARRAY_D aryVal = rdi.id(""a"").getAlarmBurstValue(""AVI"");"
35,"RDI_BEGIN();
...
rdi.dc(""a"").pin(""dig"").iForce(0).vMeas().execute(); 
...
RDI_END();

double dVal = rdi.id(""a"",).getAlarmValue();
ARRAY_D aryVal = rdi.id(""a"").getAlarmBurstValue(""AVI"");"
36,"RDI_BEGIN();
...
rdi.dc(""a"").pin(""dig"").iForce(0).vMeas().execute(); 
...
RDI_END();

double dVal = rdi.id(""a"").getAlarmValue();
ARRAY_D aryVal = rdi.id(""a"").getAlarmBurstValue(""AVI"");"
37,"rdi.cogo().node(""this"").passNode(""id1"").failNode(""id2"").begin();
rdi.cogo().wait(100 us)
rdi.cogo().end().end();"
38,"rdi.cogo(,).node(""this"").passNode(""id1"").failNode(""id2"").begin();
rdi.cogo().wait(100 us);
rdi.cogo().end().end();"
39,"rdi.cogo().node(""this"").passNode(""id1"").failNode(""id2"").begin();
rdi.cogo().wait(100 us);
rdi.cogo(,).end().end();"
40," SMC_BackgroundProcessing()
{
rdi.id(""cap"").getVesjkctor();
rdi.id(""idd"").getVslkhalue();
rdi.id(""dgr"").getWlkjnaveform();
}"
41," SMC_BackgroundProcessing()
{
rdi.id(""cap"").getVesjkctor();
rdi.id(""idd"").getVslkhalue();
rdi.id(""dgr"").getWlkjnaveform();
}"
42," SMC_BackgroundProcessing(,)
{
rdi.id(""cap"").getVesjkctor();
rdi.id(""idd"").getVslkhalue();
rdi.id(""dgr"").getWlkjnaveform();
}"
43,"RDI_BEGIN();
rdi.pmux(1)
    .module(""02"").readTempThresh(70)
    .execute();
RDI_END();

int tempTh = rdi.id1).getTempThresh(""02"");"
44,"RDI_BEGIN();
rdi.pmux(1)
    .module(""02"").readTempThresh(70)
    .execute();
RDI_END();

int tempTh = rdi.id(1).getTempThresh(""02"");"
45,"RDI_BEGIN();
rdi.pmux(1,)
    .module(""02"").readTempThresh(70)
    .execute();
RDI_END();

int tempTh = rdi.id(1).getTempThresh(""02"");"
46,"RDI_BEGIN();
rdi.route().pin(""P0x01F1"").setOff().execute();
rdi.route().pin(""P0x07F1"").setOn().execute();
rdi.route().retrievePmuxPinStatus(""P0x01F1"");
rdi.route(,).retrievePmuxPinStatus(""P0x07F1"");
rdi.route().retrievePmuxPinStatus(""P0x08F1"");
RDI_END();"
47,"RDI_BEGIN();
rdi.route().pin(""P0x01F1"").setOff().execute();
rdi.route().pin(""P0x07F1"").setOn().execute();
rdi.route).retrievePmuxPinStatus(""P0x01F1"");
rdi.route().retrievePmuxPinStatus(""P0x07F1"");
rdi.route().retrievePmuxPinStatus(""P0x08F1"");
RDI_END();"
48,"RDI_BEGIN();
rdi.route().pin(""P0x01F1"").setOff().execute();
rdi.route().pin(""P0x07F1"").setOn().execute();
rdi.route(,).retrievePmuxPinStatus(""P0x01F1"");
rdi.route().retrievePmuxPinStatus(""P0x07F1"");
rdi.route().retrievePmuxPinStatus(""P0x08F1"");
RDI_END();"
49,"	rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(13.5 V).vForceRange(35 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute();
            rdi.wait1 ms);"
50,"	rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(13.5 V).vForceRange(35 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute);
            rdi.wait(1 ms);"
51,"	rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(13.5 V).vForceRange(35 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute()
            rdi.wait(1 ms);"
52,"rdi.digCapBurstSiteUpload(false);

RDI_BEGIN();
rdi.digCap(1)
    .pin""DATA1"").samples(9216)
    .execute();
RDI_END();"
53,"rdi.digCapBurstSiteUpload(false);

RDI_BEGIN();
rdi.digCap(1)
    .pin(""DATA1"").samples(9216)
    .execute();
RDI_END();"
54,"rdi.digCapBurstSiteUpload(false);

RDI_BEGIN();
rdi.digCap(1)
    .pin(""DATA1"").samples(9216)
    .execute);
RDI_END();"
55,"RDI_BEGIN();
rdi.dc(,).pin(""dig1"").vForce(1).iMeans().iRange(2 mAh).execute(); //
rdi.dc().pin(""dig2"").iForce(1 uA).vMeans().execute(); // average =
RDI_END();"
56,"RDI_BEGIN();
rdi.dc().pin(""dig1"").vForce(1).iMeans().iRange(2 mAh).execute(); //
rdi.dc().pin(""dig2"").iForce(1 uA).vMeans().execute(); // average =
RDI_END();"
57,"RDI_BEGIN();
rdi.dc).pin(""dig1"").vForce(1).iMeans().iRange(2 mAh).execute(); //
rdi.dc().pin(""dig2"").iForce(1 uA).vMeans().execute(); // average =
RDI_END();"
58,"//rdi.alarm().pin(m_rMcd.sP_MON).enable(true);    //turn on MON alarm
rdi.alarm().pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute();
            rdi.wait(1 ms);"
59,"//rdi.alarm().pin(m_rMcd.sP_MON).enable(true);    //turn on MON alarm
rdi.alarm).pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute();
            rdi.wait(1 ms);"
60,"//rdi.alarm().pin(m_rMcd.sP_MON).enable(true);    //turn on MON alarm
rdi.alarm(,).pin(m_rMcd.sP_VS).enable(true);        //turn on VS alarm
            //go back to default voltage
            rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)
                    .pin(m_rMcd.sP_LIN).vForce(13.5 V).vForceRange(30 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)
                    .execute();
            rdi.wait(1 ms);"
